': monkey-chatter
аммонал: ammonal
аммоний: ammonium
аммонит: ammonite
амнистия: amnesty
аморальность: sleaze
аморальность: immorality
аморальный: amoral
аморальный: immoral
ампер: ampere
амперметр: ammeter
амперметр: amperemeter
амплитуда: amplitude
ампула: ampule
ампула: ampoule
ампутация: amputation
амулет: periapt
амфетамин: amphetamine
амфибии: Amphibia
амфитеатр: amphitheatre
амфора: amphora
анабаптист: anabaptist
анаграмма: anagram
анакард: cashew
анаконда: anaconda
анакреонтический: anacreontic
анализ: analysis
анализатор: analyser
анализировать: analyse
аналитик: analyst
аналог: analogue
аналог: analog
аналогический: analogical
аналогичный: analogous
аналогия: analogy
аналой: lectern
ананас: ananas
ананас: pineapple
ананас: pine-apple
анапест: anapaest
анархист: anarchist
анархия: anarchy
анархо-синдикализм: anarcho-syndicalism
анархо-синдикалист: anarcho-syndicalist
анастомоз: anastomosis
анатом: anatomist
анатомировать: anatomize
анатомический: anatomical
анатомия: anatomy
анафема: anathema
анахронизм: anachronism
анаэроб: anaerobe
ангар: hangar
ангар: airshed
ангел: angel
ангельский: angelic
ангидрид: anhydride
ангидрит: anhydrite
англизировать: Anglicize
английский: English
англиканский: Anglican
англист: Anglicist
англицизм: Briticism
англицизм: Anglicism
англичанин: pommy
англичанин: Englishman
англичанин: Sassenach
англичанин: limey
англичанка: Englishwoman
англо-: Anglo-
англо-американец: Anglo
англо-американец: Anglo-American
англо-индиец: Anglo-Indian
англо-канадец: Anglo-Canadian
англокатолический: Anglo-Catholic
англомания: Anglomania
англосаксонский: Anglo-Saxon
англофобия: Anglophobia
англофон: Anglophone
анголец: Angolan
анданте: andante
андроид: android
аневризм: aneurism
анекдотичный: anecdotic
анемичный: anaemic
анемия: anaemia
анемограф: anemograph
анемометр: anemometer
анемон: wind-flower
анемон: anemone
анемоскоп: anemoscope
анестезировать: anaesthetize
анестезирующий: anaesthetic
анестезист: anaesthetist
анестезия: anaesthesia
анжуйский: Angevin
анилин: aniline
анимизм: animism
анис: anise
анис: aniseed
анкер: anker
анкилоз: anchylosis
анналы: annals
аннексировать: mediatize
